"No.","Time","Source","Destination","Protocol","Length","Info"
"230","153.428234","10.0.0.2","10.0.0.6","TCP","574","1670  >  0 [SYN] Seq=0 Win=512 Len=2000"
"231","153.428241","10.0.0.6","10.0.0.2","TCP","54","0  >  1670 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"233","153.434726","10.0.0.2","10.0.0.6","TCP","574","1671  >  0 [SYN] Seq=0 Win=512 Len=2000"
"235","153.434742","10.0.0.6","10.0.0.2","TCP","54","0  >  1671 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"236","153.435571","10.0.0.2","10.0.0.6","TCP","574","1672  >  0 [SYN] Seq=0 Win=512 Len=2000"
"237","153.435578","10.0.0.6","10.0.0.2","TCP","54","0  >  1672 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"239","153.438912","10.0.0.2","10.0.0.6","TCP","574","1673  >  0 [SYN] Seq=0 Win=512 Len=2000"
"240","153.438920","10.0.0.6","10.0.0.2","TCP","54","0  >  1673 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"242","153.442255","10.0.0.2","10.0.0.6","TCP","574","1674  >  0 [SYN] Seq=0 Win=512 Len=2000"
"243","153.442262","10.0.0.6","10.0.0.2","TCP","54","0  >  1674 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"245","153.451767","10.0.0.2","10.0.0.6","TCP","574","1675  >  0 [SYN] Seq=0 Win=512 Len=2000"
"247","153.451811","10.0.0.6","10.0.0.2","TCP","54","0  >  1675 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"248","153.453924","10.0.0.2","10.0.0.6","TCP","574","1676  >  0 [SYN] Seq=0 Win=512 Len=2000"
"250","153.453966","10.0.0.6","10.0.0.2","TCP","54","0  >  1676 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"251","153.458972","10.0.0.2","10.0.0.6","TCP","574","1677  >  0 [SYN] Seq=0 Win=512 Len=2000"
"253","153.459019","10.0.0.6","10.0.0.2","TCP","54","0  >  1677 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"254","153.459767","10.0.0.2","10.0.0.6","TCP","574","1678  >  0 [SYN] Seq=0 Win=512 Len=2000"
"255","153.459779","10.0.0.6","10.0.0.2","TCP","54","0  >  1678 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"257","153.463089","10.0.0.2","10.0.0.6","TCP","574","1679  >  0 [SYN] Seq=0 Win=512 Len=2000"
"258","153.463098","10.0.0.6","10.0.0.2","TCP","54","0  >  1679 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"260","153.466433","10.0.0.2","10.0.0.6","TCP","574","1680  >  0 [SYN] Seq=0 Win=512 Len=2000"
"261","153.466442","10.0.0.6","10.0.0.2","TCP","54","0  >  1680 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"263","153.469774","10.0.0.2","10.0.0.6","TCP","574","1681  >  0 [SYN] Seq=0 Win=512 Len=2000"
"264","153.469781","10.0.0.6","10.0.0.2","TCP","54","0  >  1681 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
